,make,model,year,transmission,fuel_type,mileage,price,platform
4858,TOYOTA,Hilux,2018,AUTOMATIC,Diesel,25244.0,1128000,philkotse
4859,HONDA,City,2020,AUTOMATIC,Gasoline,15000.0,678000,philkotse
4860,MITSUBISHI,L300,2018,MANUAL,Diesel,48000.0,525000,philkotse
4861,TOYOTA,Vios,2019,AUTOMATIC,Gasoline,30000.0,638000,philkotse
4862,MAZDA,CX-5,2013,AUTOMATIC,Gasoline,50000.0,570000,philkotse
4863,TOYOTA,RAV 4,2017,AUTOMATIC,Gasoline,81000.0,798000,philkotse
4864,KIA,Sportage,2017,AUTOMATIC,Diesel,40000.0,880000,philkotse
4865,NISSAN,Urvan NV350,2020,MANUAL,Diesel,21000.0,928000,philkotse
4866,HYUNDAI,Tucson,2019,AUTOMATIC,Diesel,77000.0,878000,philkotse
4867,FORD,Explorer,2012,AUTOMATIC,Gasoline,40000.0,798000,philkotse
4868,SUBARU,XV,2013,AUTOMATIC,Gasoline,62000.0,490000,philkotse
4869,MAZDA,2 Sedan,2017,AUTOMATIC,Gasoline,47000.0,498000,philkotse
4870,TOYOTA,Innova,2018,AUTOMATIC,Diesel,85000.0,948000,philkotse
4871,HYUNDAI,H-100,2020,MANUAL,Diesel,36000.0,758000,philkotse
4872,TOYOTA,Fortuner,2016,AUTOMATIC,Diesel,70000.0,1228000,philkotse
4873,TOYOTA,Revo,2005,AUTOMATIC,Gasoline,121000.0,328000,philkotse
4874,TOYOTA,Hiace,2021,MANUAL,Diesel,30000.0,305000,philkotse
4875,FORD,Explorer,2013,AUTOMATIC,Gasoline,65000.0,808000,philkotse
4876,NISSAN,Terra,2020,MANUAL,Diesel,25000.0,315000,philkotse
4877,TOYOTA,Fortuner,2018,MANUAL,Diesel,18000.0,303000,philkotse
4878,HONDA,CR-V,2003,MANUAL,Gasoline,90000.0,248000,philkotse
4879,TOYOTA,Vios,2021,AUTOMATIC,Gasoline,20139.0,648000,philkotse
4880,HONDA,Mobilio,2016,AUTOMATIC,Gasoline,70000.0,173400,philkotse
4881,HYUNDAI,Accent,2018,MANUAL,Diesel,27000.0,68000,philkotse
4882,FORD,Explorer,2013,AUTOMATIC,Gasoline,60000.0,245400,philkotse
4883,HONDA,HR-V,2016,AUTOMATIC,Gasoline,50000.0,690000,philkotse
4884,FORD,Ranger,2015,AUTOMATIC,Diesel,75000.0,200000,philkotse
4885,FORD,Ranger,2015,AUTOMATIC,Diesel,80000.0,242400,philkotse
4886,MITSUBISHI,Montero,2016,AUTOMATIC,Diesel,82000.0,308400,philkotse
4887,TOYOTA,Camry,2013,AUTOMATIC,Gasoline,78000.0,179000,philkotse
4888,MAZDA,3 Sedan,2015,AUTOMATIC,Gasoline,45000.0,170400,philkotse
4889,TOYOTA,Camry,2013,AUTOMATIC,Gasoline,60000.0,191400,philkotse
4890,TOYOTA,Camry,2013,AUTOMATIC,Gasoline,51000.0,188000,philkotse
4891,FORD,Escape,2008,AUTOMATIC,Gasoline,98000.0,131800,philkotse
4892,CHEVROLET,Trailblazer,2014,AUTOMATIC,Diesel,51000.0,220000,philkotse
4893,CHEVROLET,Trailblazer,2015,AUTOMATIC,Diesel,68000.0,207000,philkotse
4894,FORD,Ranger,2018,AUTOMATIC,Diesel,67000.0,200000,philkotse
4895,TOYOTA,Corolla Altis,2019,AUTOMATIC,Gasoline,25000.0,250000,philkotse
4896,FORD,Ranger,2018,AUTOMATIC,Diesel,65000.0,296400,philkotse
4897,MAZDA,CX-5,2016,AUTOMATIC,Diesel,51000.0,254400,philkotse
4898,TOYOTA,Fortuner,2016,AUTOMATIC,Diesel,80000.0,1190000,philkotse
4899,FORD,Mustang,2013,AUTOMATIC,Gasoline,30000.0,1770000,philkotse
4900,TOYOTA,Fortuner,2012,AUTOMATIC,Diesel,60000.0,770000,philkotse
4901,ISUZU,Altera,2010,AUTOMATIC,Diesel,70000.0,520000,philkotse
4902,NISSAN,Navara,2018,AUTOMATIC,Diesel,40000.0,890000,philkotse
4903,HYUNDAI,Tucson,2018,AUTOMATIC,Diesel,50000.0,850000,philkotse
4904,TOYOTA,Fortuner,2016,AUTOMATIC,Diesel,30000.0,1130000,philkotse
4905,TOYOTA,Wigo,2022,AUTOMATIC,Gasoline,400.0,610000,philkotse
4906,KIA,Forte Sedan,2016,AUTOMATIC,Gasoline,40000.0,460000,philkotse
4907,TOYOTA,Hiace,2018,AUTOMATIC,Diesel,40000.0,1380000,philkotse
4908,TOYOTA,Hiace,2020,MANUAL,Gasoline,18000.0,998000,philkotse
4909,FORD,EcoSport,2016,AUTOMATIC,Gasoline,40000.0,458000,philkotse
4910,TOYOTA,Wigo,2018,MANUAL,Gasoline,35000.0,89223,philkotse
4911,FORD,Everest,2016,AUTOMATIC,Diesel,60000.0,920000,philkotse
4912,HYUNDAI,Genesis Coupe,2013,AUTOMATIC,Gasoline,30000.0,820000,philkotse
4913,FORD,Everest,2017,AUTOMATIC,Diesel,60000.0,970000,philkotse
4914,FORD,Everest,2020,AUTOMATIC,Diesel,7000.0,1590000,philkotse
4915,MITSUBISHI,Montero Sport,2013,AUTOMATIC,Diesel,70000.0,680000,philkotse
4916,TOYOTA,Fortuner,2014,AUTOMATIC,Diesel,70000.0,850000,philkotse
4917,MITSUBISHI,Montero Sport,2014,AUTOMATIC,Diesel,60000.0,710000,philkotse
4918,MITSUBISHI,Montero Sport,2014,AUTOMATIC,Diesel,60000.0,710000,philkotse
4919,MITSUBISHI,Montero Sport,2017,MANUAL,Diesel,50000.0,930000,philkotse
4920,NISSAN,Terra,2019,AUTOMATIC,Diesel,60000.0,1470000,philkotse
4921,MAZDA,3 Sedan,2016,AUTOMATIC,Gasoline,70000.0,590000,philkotse
4922,TOYOTA,Fortuner,2018,MANUAL,Diesel,90000.0,1090000,philkotse
4923,MERCEDES-BENZ,GLC-Class,2018,AUTOMATIC,Diesel,40000.0,2880000,philkotse
4924,SUZUKI,Vitara,2015,AUTOMATIC,Gasoline,50000.0,520000,philkotse
4925,HONDA,City,2021,AUTOMATIC,Gasoline,6000.0,950000,philkotse
4926,TOYOTA,Fortuner,2017,AUTOMATIC,Diesel,40000.0,1180000,philkotse
4927,MITSUBISHI,Adventure,2017,MANUAL,Diesel,50000.0,540000,philkotse
4928,TOYOTA,Innova,2016,AUTOMATIC,Gasoline,55000.0,205000,philkotse
4929,MITSUBISHI,Xpander,2019,AUTOMATIC,Gasoline,29000.0,245000,philkotse
4930,SUZUKI,Celerio,2020,MANUAL,Gasoline,24000.0,123000,philkotse
4931,HONDA,City,2016,MANUAL,Gasoline,45000.0,488000,philkotse
4932,FORD,Everest,2016,AUTOMATIC,Diesel,65000.0,265000,philkotse
4933,ISUZU,Sportivo,2017,MANUAL,Diesel,18000.0,225000,philkotse
4934,FOTON,Gratour,2021,MANUAL,Gasoline,800.0,145000,philkotse
4935,NISSAN,Almera,2020,MANUAL,Gasoline,4000.0,155000,philkotse
4936,NISSAN,Terra,2019,AUTOMATIC,Diesel,55000.0,290000,philkotse
4937,KIA,Sportage,2018,AUTOMATIC,Gasoline,5000.0,245000,philkotse
4938,FORD,Ranger,2020,AUTOMATIC,Diesel,17000.0,315000,philkotse
4939,HYUNDAI,Tucson,2016,AUTOMATIC,Gasoline,68000.0,658000,philkotse
4940,NISSAN,Urvan NV350,2021,MANUAL,Diesel,15000.0,300000,philkotse
4941,SUZUKI,Ciaz,2019,AUTOMATIC,Gasoline,16000.0,175000,philkotse
4942,NISSAN,Np300,2019,MANUAL,Diesel,20000.0,240000,philkotse
4943,NISSAN,Terra,2019,AUTOMATIC,Diesel,29000.0,350000,philkotse
4944,FORD,Everest,2017,AUTOMATIC,Diesel,45000.0,213600,philkotse
4945,CHEVROLET,Trailblazer,2017,AUTOMATIC,Diesel,45000.0,248000,philkotse
4946,HYUNDAI,H-100,2020,MANUAL,Diesel,36000.0,127000,philkotse
4947,CHEVROLET,Trax,2023,AUTOMATIC,Gasoline,40000.0,215400,philkotse
4948,BMW,X3,2010,AUTOMATIC,Diesel,45000.0,323200,philkotse
4949,CHEVROLET,Colorado,2019,AUTOMATIC,Diesel,41532.0,878000,philkotse
4950,FORD,Ranger,2019,AUTOMATIC,Diesel,45433.0,1498000,philkotse
4951,SUZUKI,Ertiga,2015,AUTOMATIC,Gasoline,50000.0,170000,philkotse
4952,MITSUBISHI,Xpander,2019,AUTOMATIC,Gasoline,23000.0,828000,philkotse
4953,FORD,EcoSport,2015,AUTOMATIC,Gasoline,35000.0,135500,philkotse
4954,CHEVROLET,Captiva,2016,AUTOMATIC,Diesel,87000.0,194000,philkotse
4955,FORD,EcoSport,2015,AUTOMATIC,Gasoline,35000.0,135500,philkotse
4956,CHEVROLET,Captiva,2016,AUTOMATIC,Diesel,87000.0,194000,philkotse
4957,HONDA,Mobilio,2015,AUTOMATIC,Gasoline,50000.0,568000,philkotse
4958,HONDA,Mobilio,2015,AUTOMATIC,Gasoline,50000.0,170400,philkotse
4959,MAZDA,2 Sedan,2019,AUTOMATIC,Gasoline,39000.0,176000,philkotse
4960,HYUNDAI,Accent,2022,AUTOMATIC,Gasoline,9000.0,598000,philkotse
4961,TOYOTA,Wigo,2018,MANUAL,Gasoline,35000.0,89223,philkotse
4962,SUZUKI,Ertiga,2018,MANUAL,Gasoline,33000.0,149400,philkotse
4963,TOYOTA,Rush,2022,AUTOMATIC,Gasoline,5000.0,998000,philkotse
4964,ISUZU,mu-X,2016,AUTOMATIC,Diesel,94000.0,898000,philkotse
4965,MERCEDES-BENZ,A-Class,2018,AUTOMATIC,Gasoline,25000.0,437400,philkotse
4966,MAZDA,BT-50,2018,AUTOMATIC,Diesel,38000.0,818000,philkotse
4967,TOYOTA,Fortuner,2018,MANUAL,Diesel,66000.0,1088000,philkotse
4968,MAZDA,2 Sedan,2019,AUTOMATIC,Gasoline,39000.0,568000,philkotse
4969,TOYOTA,Avanza,2015,AUTOMATIC,Gasoline,56000.0,558000,philkotse
4970,MITSUBISHI,Montero,2015,AUTOMATIC,Diesel,91000.0,239000,philkotse
4971,SUZUKI,Ertiga,2018,MANUAL,Gasoline,33000.0,498000,philkotse
4972,HONDA,CR-V,2018,AUTOMATIC,Diesel,44000.0,1150000,philkotse
4973,TOYOTA,Previa,2010,AUTOMATIC,Gasoline,149000.0,570000,philkotse
4974,TOYOTA,RAV 4,2018,AUTOMATIC,Gasoline,36000.0,890000,philkotse
4975,MITSUBISHI,Strada,2016,AUTOMATIC,Diesel,42000.0,780000,philkotse
4976,FORD,Explorer,2014,AUTOMATIC,Gasoline,78000.0,269000,philkotse
4977,HYUNDAI,Accent,2018,MANUAL,Gasoline,15000.0,85000,philkotse
4978,MITSUBISHI,Montero,2015,AUTOMATIC,Diesel,91000.0,224000,philkotse
4979,FORD,Explorer,2014,AUTOMATIC,Gasoline,78000.0,269000,philkotse
4980,TOYOTA,Vios,2013,MANUAL,Gasoline,125000.0,101400,philkotse
4981,NISSAN,X-Trail,2017,AUTOMATIC,Gasoline,37000.0,215400,philkotse
4982,HYUNDAI,Tucson,2006,AUTOMATIC,Diesel,160000.0,348000,philkotse
4983,CHEVROLET,Orlando,2013,AUTOMATIC,Gasoline,80000.0,75000,philkotse
4984,HYUNDAI,Accent,2018,MANUAL,Gasoline,15000.0,85000,philkotse
4985,SUBARU,XV,2016,AUTOMATIC,Gasoline,67000.0,194000,philkotse
4986,FORD,EcoSport,2015,AUTOMATIC,Gasoline,35000.0,135500,philkotse
4987,NISSAN,GT-R,2009,AUTOMATIC,Gasoline,19000.0,5200000,philkotse
4988,FORD,Explorer,2016,AUTOMATIC,Gasoline,50000.0,374400,philkotse
4989,SUBARU,Forester,2015,AUTOMATIC,Gasoline,42000.0,200400,philkotse
4990,KIA,Sorento,2018,AUTOMATIC,Diesel,48000.0,948000,philkotse
4991,TOYOTA,Vios,2013,MANUAL,Gasoline,125000.0,338000,philkotse
4992,MITSUBISHI,Montero,2015,AUTOMATIC,Diesel,91000.0,798000,philkotse
4993,FORD,EcoSport,2015,MANUAL,Gasoline,30000.0,398000,philkotse
4994,CHEVROLET,Captiva,2016,AUTOMATIC,Diesel,87000.0,648000,philkotse
4995,FORD,EcoSport,2015,AUTOMATIC,Gasoline,35000.0,135500,philkotse
4996,FORD,EcoSport,2015,AUTOMATIC,Gasoline,35000.0,498000,philkotse
4997,HYUNDAI,Tucson,2012,AUTOMATIC,Gasoline,78000.0,468000,philkotse
4998,CHEVROLET,Captiva,2016,AUTOMATIC,Diesel,87000.0,194000,philkotse
4999,HYUNDAI,Tucson,2012,AUTOMATIC,Gasoline,78000.0,140400,philkotse
